category_key,category_label,table_number,table_title,prefecture_code,prefecture,households,birds_thousand
layers,採卵鶏,4,飼養戸数・羽数（全国農業地域・都道府県別）,0,全国,1700,170776
layers,採卵鶏,4,飼養戸数・羽数（全国農業地域・都道府県別）,1,北海道,56,5692
layers,採卵鶏,4,飼養戸数・羽数（全国農業地域・都道府県別）,2,青森県,24,6540
layers,採卵鶏,4,飼養戸数・羽数（全国農業地域・都道府県別）,3,岩手県,23,5097
layers,採卵鶏,4,飼養戸数・羽数（全国農業地域・都道府県別）,4,宮城県,33,3964
layers,採卵鶏,4,飼養戸数・羽数（全国農業地域・都道府県別）,5,秋田県,15,2374
layers,採卵鶏,4,飼養戸数・羽数（全国農業地域・都道府県別）,6,山形県,13,427
layers,採卵鶏,4,飼養戸数・羽数（全国農業地域・都道府県別）,7,福島県,37,5220
layers,採卵鶏,4,飼養戸数・羽数（全国農業地域・都道府県別）,8,茨城県,83,12310
layers,採卵鶏,4,飼養戸数・羽数（全国農業地域・都道府県別）,9,栃木県,43,6177
layers,採卵鶏,4,飼養戸数・羽数（全国農業地域・都道府県別）,10,群馬県,46,9765
layers,採卵鶏,4,飼養戸数・羽数（全国農業地域・都道府県別）,11,埼玉県,63,3651
layers,採卵鶏,4,飼養戸数・羽数（全国農業地域・都道府県別）,12,千葉県,90,14173
layers,採卵鶏,4,飼養戸数・羽数（全国農業地域・都道府県別）,13,東京都,15,69
layers,採卵鶏,4,飼養戸数・羽数（全国農業地域・都道府県別）,14,神奈川県,38,1041
layers,採卵鶏,4,飼養戸数・羽数（全国農業地域・都道府県別）,15,新潟県,42,4695
layers,採卵鶏,4,飼養戸数・羽数（全国農業地域・都道府県別）,16,富山県,14,719
layers,採卵鶏,4,飼養戸数・羽数（全国農業地域・都道府県別）,17,石川県,6,690
layers,採卵鶏,4,飼養戸数・羽数（全国農業地域・都道府県別）,18,福井県,12,740
layers,採卵鶏,4,飼養戸数・羽数（全国農業地域・都道府県別）,19,山梨県,17,505
layers,採卵鶏,4,飼養戸数・羽数（全国農業地域・都道府県別）,20,長野県,17,690
layers,採卵鶏,4,飼養戸数・羽数（全国農業地域・都道府県別）,21,岐阜県,57,5831
layers,採卵鶏,4,飼養戸数・羽数（全国農業地域・都道府県別）,22,静岡県,47,4794
layers,採卵鶏,4,飼養戸数・羽数（全国農業地域・都道府県別）,23,愛知県,113,8109
layers,採卵鶏,4,飼養戸数・羽数（全国農業地域・都道府県別）,24,三重県,63,5749
layers,採卵鶏,4,飼養戸数・羽数（全国農業地域・都道府県別）,25,滋賀県,15,242
layers,採卵鶏,4,飼養戸数・羽数（全国農業地域・都道府県別）,26,京都府,25,1515
layers,採卵鶏,4,飼養戸数・羽数（全国農業地域・都道府県別）,27,大阪府,12,49
layers,採卵鶏,4,飼養戸数・羽数（全国農業地域・都道府県別）,28,兵庫県,44,5677
layers,採卵鶏,4,飼養戸数・羽数（全国農業地域・都道府県別）,29,奈良県,23,284
layers,採卵鶏,4,飼養戸数・羽数（全国農業地域・都道府県別）,30,和歌山県,18,265
layers,採卵鶏,4,飼養戸数・羽数（全国農業地域・都道府県別）,31,鳥取県,8,242
layers,採卵鶏,4,飼養戸数・羽数（全国農業地域・都道府県別）,32,島根県,14,934
layers,採卵鶏,4,飼養戸数・羽数（全国農業地域・都道府県別）,33,岡山県,48,10036
layers,採卵鶏,4,飼養戸数・羽数（全国農業地域・都道府県別）,34,広島県,41,9260
layers,採卵鶏,4,飼養戸数・羽数（全国農業地域・都道府県別）,35,山口県,13,1655
layers,採卵鶏,4,飼養戸数・羽数（全国農業地域・都道府県別）,36,徳島県,14,831
layers,採卵鶏,4,飼養戸数・羽数（全国農業地域・都道府県別）,37,香川県,36,5059
layers,採卵鶏,4,飼養戸数・羽数（全国農業地域・都道府県別）,38,愛媛県,35,2148
layers,採卵鶏,4,飼養戸数・羽数（全国農業地域・都道府県別）,39,高知県,10,275
layers,採卵鶏,4,飼養戸数・羽数（全国農業地域・都道府県別）,40,福岡県,55,2874
layers,採卵鶏,4,飼養戸数・羽数（全国農業地域・都道府県別）,41,佐賀県,24,251
layers,採卵鶏,4,飼養戸数・羽数（全国農業地域・都道府県別）,42,長崎県,51,1826
layers,採卵鶏,4,飼養戸数・羽数（全国農業地域・都道府県別）,43,熊本県,38,2481
layers,採卵鶏,4,飼養戸数・羽数（全国農業地域・都道府県別）,44,大分県,15,914
layers,採卵鶏,4,飼養戸数・羽数（全国農業地域・都道府県別）,45,宮崎県,53,3194
layers,採卵鶏,4,飼養戸数・羽数（全国農業地域・都道府県別）,46,鹿児島県,101,10302
layers,採卵鶏,4,飼養戸数・羽数（全国農業地域・都道府県別）,47,沖縄県,35,1440
broilers,ブロイラー,5,飼養戸数・羽数（全国農業地域・都道府県別）,0,全国,2050,144859
broilers,ブロイラー,5,飼養戸数・羽数（全国農業地域・都道府県別）,1,北海道,8,5531
broilers,ブロイラー,5,飼養戸数・羽数（全国農業地域・都道府県別）,2,青森県,59,7639
broilers,ブロイラー,5,飼養戸数・羽数（全国農業地域・都道府県別）,3,岩手県,301,23604
broilers,ブロイラー,5,飼養戸数・羽数（全国農業地域・都道府県別）,4,宮城県,37,1990
broilers,ブロイラー,5,飼養戸数・羽数（全国農業地域・都道府県別）,5,秋田県,,
broilers,ブロイラー,5,飼養戸数・羽数（全国農業地域・都道府県別）,6,山形県,13,542
broilers,ブロイラー,5,飼養戸数・羽数（全国農業地域・都道府県別）,7,福島県,31,751
broilers,ブロイラー,5,飼養戸数・羽数（全国農業地域・都道府県別）,8,茨城県,36,1350
broilers,ブロイラー,5,飼養戸数・羽数（全国農業地域・都道府県別）,9,栃木県,8,
broilers,ブロイラー,5,飼養戸数・羽数（全国農業地域・都道府県別）,10,群馬県,26,1587
broilers,ブロイラー,5,飼養戸数・羽数（全国農業地域・都道府県別）,11,埼玉県,1,
broilers,ブロイラー,5,飼養戸数・羽数（全国農業地域・都道府県別）,12,千葉県,24,1935
broilers,ブロイラー,5,飼養戸数・羽数（全国農業地域・都道府県別）,13,東京都,,
broilers,ブロイラー,5,飼養戸数・羽数（全国農業地域・都道府県別）,14,神奈川県,,
broilers,ブロイラー,5,飼養戸数・羽数（全国農業地域・都道府県別）,15,新潟県,10,1201
broilers,ブロイラー,5,飼養戸数・羽数（全国農業地域・都道府県別）,16,富山県,,
broilers,ブロイラー,5,飼養戸数・羽数（全国農業地域・都道府県別）,17,石川県,,
broilers,ブロイラー,5,飼養戸数・羽数（全国農業地域・都道府県別）,18,福井県,3,91
broilers,ブロイラー,5,飼養戸数・羽数（全国農業地域・都道府県別）,19,山梨県,8,392
broilers,ブロイラー,5,飼養戸数・羽数（全国農業地域・都道府県別）,20,長野県,18,696
broilers,ブロイラー,5,飼養戸数・羽数（全国農業地域・都道府県別）,21,岐阜県,11,939
broilers,ブロイラー,5,飼養戸数・羽数（全国農業地域・都道府県別）,22,静岡県,18,947
broilers,ブロイラー,5,飼養戸数・羽数（全国農業地域・都道府県別）,23,愛知県,12,962
broilers,ブロイラー,5,飼養戸数・羽数（全国農業地域・都道府県別）,24,三重県,8,662
broilers,ブロイラー,5,飼養戸数・羽数（全国農業地域・都道府県別）,25,滋賀県,2,
broilers,ブロイラー,5,飼養戸数・羽数（全国農業地域・都道府県別）,26,京都府,11,535
broilers,ブロイラー,5,飼養戸数・羽数（全国農業地域・都道府県別）,27,大阪府,,
broilers,ブロイラー,5,飼養戸数・羽数（全国農業地域・都道府県別）,28,兵庫県,32,2412
broilers,ブロイラー,5,飼養戸数・羽数（全国農業地域・都道府県別）,29,奈良県,1,
broilers,ブロイラー,5,飼養戸数・羽数（全国農業地域・都道府県別）,30,和歌山県,16,231
broilers,ブロイラー,5,飼養戸数・羽数（全国農業地域・都道府県別）,31,鳥取県,11,3151
broilers,ブロイラー,5,飼養戸数・羽数（全国農業地域・都道府県別）,32,島根県,4,377
broilers,ブロイラー,5,飼養戸数・羽数（全国農業地域・都道府県別）,33,岡山県,18,2840
broilers,ブロイラー,5,飼養戸数・羽数（全国農業地域・都道府県別）,34,広島県,8,647
broilers,ブロイラー,5,飼養戸数・羽数（全国農業地域・都道府県別）,35,山口県,22,1497
broilers,ブロイラー,5,飼養戸数・羽数（全国農業地域・都道府県別）,36,徳島県,134,3855
broilers,ブロイラー,5,飼養戸数・羽数（全国農業地域・都道府県別）,37,香川県,30,2119
broilers,ブロイラー,5,飼養戸数・羽数（全国農業地域・都道府県別）,38,愛媛県,22,957
broilers,ブロイラー,5,飼養戸数・羽数（全国農業地域・都道府県別）,39,高知県,9,397
broilers,ブロイラー,5,飼養戸数・羽数（全国農業地域・都道府県別）,40,福岡県,30,1168
broilers,ブロイラー,5,飼養戸数・羽数（全国農業地域・都道府県別）,41,佐賀県,62,3929
broilers,ブロイラー,5,飼養戸数・羽数（全国農業地域・都道府県別）,42,長崎県,48,3297
broilers,ブロイラー,5,飼養戸数・羽数（全国農業地域・都道府県別）,43,熊本県,56,3746
broilers,ブロイラー,5,飼養戸数・羽数（全国農業地域・都道府県別）,44,大分県,42,1782
broilers,ブロイラー,5,飼養戸数・羽数（全国農業地域・都道府県別）,45,宮崎県,442,28155
broilers,ブロイラー,5,飼養戸数・羽数（全国農業地域・都道府県別）,46,鹿児島県,402,32003
broilers,ブロイラー,5,飼養戸数・羽数（全国農業地域・都道府県別）,47,沖縄県,15,624
